Loan_ID,Applicant_Income,Loan_Amount,Loan_Term,Credit_History,Employment_Status,Loan_Status
1,47184,204902,60,Good,Salaried,Approved
2,40790,1869668,12,Good,Salaried,Rejected
3,24956,2454032,48,Average,Self-employed,Rejected
4,75787,1984119,60,Average,Salaried,Approved
5,128785,1527114,60,Good,Unemployed,Approved
6,44793,489004,120,Good,Self-employed,Approved
7,87342,282244,180,Good,Unemployed,Approved
8,38656,2415426,60,Average,Salaried,Rejected
9,68407,391735,12,Average,Self-employed,Rejected
10,79024,523630,120,Good,Self-employed,Approved
11,60638,1652651,84,Good,Salaried,Approved
12,62862,2340345,48,Good,Salaried,Approved
13,75570,1460140,12,Good,Salaried,Approved
14,123162,1222986,24,Good,Unemployed,Rejected
15,73738,2193927,120,Poor,Self-employed,Rejected
16,87436,685652,48,Average,Salaried,Approved
17,130311,1775207,84,Good,Unemployed,Approved
18,147372,481301,12,Poor,Salaried,Rejected
19,128666,366454,120,Good,Unemployed,Approved
20,83906,2420397,12,Average,Salaried,Approved
21,87946,1526799,24,Good,Salaried,Approved
22,87045,2199610,36,Good,Salaried,Approved
23,70143,741054,84,Average,Salaried,Approved
24,18149,1459609,180,Good,Self-employed,Rejected
25,80770,342955,48,Poor,Unemployed,Rejected
26,145399,390298,240,Average,Salaried,Approved
27,61287,1211728,240,Poor,Salaried,Approved
28,70730,1407432,120,Poor,Self-employed,Approved
29,136354,607528,48,Good,Salaried,Approved
30,78323,1023658,12,Good,Self-employed,Approved
31,35668,231755,84,Good,Salaried,Approved
32,74160,2361711,36,Average,Self-employed,Approved
33,141907,1119204,180,Average,Salaried,Approved
34,130997,1586031,120,Good,Self-employed,Approved
35,43799,354227,120,Average,Self-employed,Rejected
36,83183,903587,48,Good,Salaried,Approved
37,91018,2040402,48,Poor,Salaried,Rejected
38,43666,312182,240,Average,Unemployed,Rejected
39,61597,1804624,180,Good,Self-employed,Approved
40,61158,1689528,12,Poor,Salaried,Rejected
41,92776,1874221,240,Average,Salaried,Approved
42,95780,1013103,12,Good,Salaried,Approved
43,32985,310312,180,Good,Self-employed,Approved
44,32910,2229987,24,Poor,Salaried,Rejected
45,79657,1793557,24,Poor,Salaried,Rejected
46,28418,443863,120,Average,Salaried,Approved
47,86358,956725,84,Good,Salaried,Approved
48,137858,1426143,24,Good,Self-employed,Approved
49,44209,407277,240,Good,Salaried,Approved
50,36033,1124603,84,Good,Salaried,Rejected
51,97303,2318538,12,Average,Salaried,Rejected
52,53203,1209250,24,Poor,Self-employed,Rejected
53,89394,1281771,48,Average,Salaried,Approved
54,146065,1153278,12,Good,Salaried,Approved
55,29557,114871,84,Average,Self-employed,Approved
56,60357,1953192,240,Average,Salaried,Approved
57,37724,725178,240,Good,Salaried,Approved
58,56821,1902656,36,Good,Salaried,Approved
59,111797,981124,48,Average,Salaried,Approved
60,124529,748243,48,Poor,Unemployed,Rejected
61,126080,203961,36,Average,Salaried,Approved
62,83055,1219064,36,Average,Salaried,Rejected
63,141388,1032954,48,Average,Salaried,Approved
64,77662,1035009,12,Average,Salaried,Approved
65,36198,1270735,84,Average,Salaried,Rejected
66,104808,215765,24,Poor,Salaried,Approved
67,87590,260462,24,Average,Salaried,Approved
68,132398,2245063,24,Good,Salaried,Approved
69,29635,1928957,12,Good,Self-employed,Rejected
70,113478,1908992,24,Poor,Self-employed,Rejected
71,100291,622716,60,Good,Self-employed,Approved
72,123486,1340067,240,Good,Salaried,Approved
73,63620,2487000,60,Good,Self-employed,Approved
74,93212,981570,120,Average,Salaried,Approved
75,139893,1952984,180,Average,Salaried,Approved
76,40228,1290286,240,Average,Salaried,Approved
77,79569,1401993,48,Average,Salaried,Rejected
78,82184,2092866,24,Good,Self-employed,Approved
79,68970,1710522,180,Good,Salaried,Approved
80,45941,1883192,48,Good,Unemployed,Rejected
81,139778,310631,240,Good,Self-employed,Approved
82,52954,2048854,240,Poor,Salaried,Approved
83,129867,2397941,180,Poor,Self-employed,Approved
84,135983,1187128,48,Average,Salaried,Approved
85,145034,1103469,60,Good,Self-employed,Approved
86,89228,1508646,84,Poor,Salaried,Rejected
87,78623,1706566,36,Average,Salaried,Approved
88,104738,2375876,180,Good,Salaried,Approved
89,120099,181922,120,Good,Unemployed,Approved
90,120232,1857502,240,Average,Salaried,Approved
91,75812,2147782,48,Good,Salaried,Approved
92,106114,1795827,36,Average,Self-employed,Approved
93,25069,1752640,12,Good,Salaried,Rejected
94,65639,310909,60,Good,Salaried,Approved
95,106473,1690170,60,Average,Self-employed,Approved
96,39471,2072609,12,Average,Salaried,Rejected
97,76778,387806,12,Average,Unemployed,Rejected
98,23342,739137,48,Good,Self-employed,Rejected
99,75138,2050493,60,Average,Salaried,Approved
100,48024,786883,60,Good,Salaried,Approved
101,116384,1763689,48,Good,Self-employed,Approved
102,44712,1364929,24,Average,Salaried,Rejected
103,109017,2334495,120,Average,Salaried,Approved
104,21316,1861854,180,Good,Unemployed,Rejected
105,58105,1926565,36,Average,Unemployed,Rejected
106,144745,2049821,120,Average,Salaried,Approved
107,82355,463490,60,Poor,Salaried,Approved
108,117349,1510949,12,Good,Salaried,Approved
109,73605,1588243,60,Good,Self-employed,Approved
110,20661,2266891,48,Good,Self-employed,Rejected
111,80999,2096879,180,Good,Salaried,Approved
112,76090,1796181,48,Good,Salaried,Approved
113,108113,1884692,240,Good,Self-employed,Approved
114,98379,1154463,48,Good,Salaried,Approved
115,66535,903381,48,Average,Salaried,Approved
116,92186,521637,48,Good,Salaried,Approved
117,21708,2340324,36,Good,Unemployed,Rejected
118,94581,629654,180,Good,Salaried,Approved
119,141049,2107872,180,Good,Unemployed,Approved
120,143233,578516,24,Good,Salaried,Approved
121,57774,725780,60,Good,Salaried,Approved
122,127097,1046600,240,Good,Self-employed,Approved
123,130415,1380857,12,Average,Self-employed,Rejected
124,73318,1210006,24,Good,Salaried,Approved
125,59034,111222,120,Good,Salaried,Approved
126,26556,1070881,60,Average,Self-employed,Rejected
127,36659,1079050,60,Average,Self-employed,Rejected
128,129447,581406,240,Good,Salaried,Approved
129,55286,399514,12,Good,Salaried,Approved
130,93657,1941943,24,Good,Salaried,Approved
131,89367,2199132,240,Good,Salaried,Approved
132,131253,1451914,60,Good,Salaried,Approved
133,23438,1230411,12,Average,Salaried,Rejected
134,133927,1266673,36,Poor,Salaried,Rejected
135,41918,2071366,84,Good,Salaried,Rejected
136,60159,1483296,120,Average,Salaried,Approved
137,27619,2007678,24,Good,Salaried,Rejected
